epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,321.781,0.61807,0.55831,0.38063,1.10144,1.0277,0.8023,0.85652,0.88625,0.70766,0.8023,0.85652,0.87706,0.83691,0.75507,0.58813,0.17373,0.85413,1.20537,0.000247286,0.000247286,0.000247286
28,331.821,0.62252,0.61538,0.38299,1.11566,1.02825,0.58009,0.87685,0.88418,0.68736,0.76098,0.74637,0.83087,0.77205,0.91456,0.89982,0.17947,1.06384,1.30501,0.000243989,0.000243989,0.000243989
29,343.599,0.63272,0.52445,0.35988,1.12274,1.03809,0.8034,0.72176,0.84079,0.66273,0.8034,0.72176,0.78837,0.72864,0.81866,1.16512,0.1614,1.15608,1.24734,0.000240692,0.000240692,0.000240692
30,354.345,0.6101,0.52146,0.34889,1.07714,1.02936,0.79195,0.77664,0.89767,0.69619,0.79195,0.77664,0.83787,0.79117,0.8528,1.01986,0.15673,1.03232,1.31111,0.000237396,0.000237396,0.000237396
31,364.746,0.60011,0.50239,0.34578,1.06438,1.0188,0.82835,0.7823,0.82917,0.64617,0.82625,0.77762,0.76394,0.724,0.82007,0.95428,0.1529,1.0276,1.25619,0.000234099,0.000234099,0.000234099
32,379.517,0.59777,0.48139,0.33417,1.08354,1.01852,0.73575,0.8629,0.90581,0.71848,0.7293,0.85645,0.89171,0.83268,0.8067,0.80722,0.13827,0.90595,1.23746,0.000230802,0.000230802,0.000230802
33,391.752,0.59795,0.47197,0.37222,1.04397,1.0247,0.84123,0.73837,0.86046,0.67316,0.84123,0.73837,0.79645,0.74437,0.84809,1.00903,0.13712,0.99144,1.27951,0.000227506,0.000227506,0.000227506
34,400.971,0.58213,0.49295,0.34592,1.02142,1.00152,0.72238,0.88644,0.89046,0.6954,0.67751,0.83644,0.83686,0.79829,0.85658,0.79753,0.1261,0.90707,1.30189,0.000224209,0.000224209,0.000224209
35,413.036,0.57338,0.44708,0.33173,0.98108,1.00312,0.82515,0.82796,0.91317,0.74513,0.82515,0.82796,0.89799,0.85153,0.76827,0.64796,0.12592,0.84206,1.1847,0.000220912,0.000220912,0.000220912
36,424.862,0.56249,0.45502,0.32778,0.97874,0.99452,0.74716,0.82802,0.83102,0.66179,0.74062,0.82148,0.81524,0.74139,0.80374,0.85922,0.11629,0.97917,1.22499,0.000217616,0.000217616,0.000217616
37,434.227,0.54619,0.44451,0.34275,0.94819,0.98652,0.76913,0.82079,0.87256,0.6832,0.76913,0.82079,0.85661,0.79741,0.77673,0.75954,0.11209,0.92718,1.20765,0.000214319,0.000214319,0.000214319
38,445.945,0.56311,0.42389,0.33573,0.98248,0.99796,0.75171,0.83454,0.94263,0.74237,0.78727,0.78023,0.86825,0.80607,0.85407,0.85029,0.11796,0.91886,1.27279,0.000211022,0.000211022,0.000211022
39,458.102,0.53228,0.41419,0.327,0.95315,0.9816,0.74133,0.78766,0.86135,0.68026,0.74133,0.78766,0.79841,0.77053,0.8777,0.92664,0.11855,0.99103,1.29327,0.000207725,0.000207725,0.000207725
40,467.383,0.5421,0.40143,0.3399,0.95545,0.98791,0.81928,0.78876,0.86496,0.68421,0.81802,0.7875,0.84252,0.77936,0.88297,0.86609,0.12428,0.98249,1.32168,0.000204429,0.000204429,0.000204429
41,479.094,0.53458,0.39182,0.32242,0.93985,0.99328,0.77662,0.82818,0.9143,0.71702,0.72484,0.77309,0.84932,0.81567,0.85658,0.88669,0.1092,0.96939,1.31105,0.000201132,0.000201132,0.000201132
42,491.574,0.53186,0.37347,0.30002,0.89772,0.97922,0.69176,0.9387,0.93846,0.74523,0.72297,0.90291,0.92246,0.86396,0.841,0.64467,0.09756,0.81249,1.32184,0.000197835,0.000197835,0.000197835
43,501.019,0.51244,0.34629,0.30885,0.87692,0.97002,0.63326,0.88978,0.88418,0.69542,0.62207,0.87859,0.86888,0.79344,0.82463,0.81806,0.10149,0.91561,1.25519,0.000194539,0.000194539,0.000194539
44,512.616,0.52425,0.35299,0.31467,0.89654,0.98394,0.78502,0.78315,0.86308,0.68383,0.78097,0.7791,0.84628,0.78391,0.82725,0.87624,0.0929,1.09052,1.28496,0.000191242,0.000191242,0.000191242
45,524.894,0.54191,0.37738,0.30576,0.90303,0.98697,0.72524,0.83924,0.87935,0.68941,0.72524,0.83924,0.86489,0.81413,0.85867,0.6501,0.09969,1.00657,1.26566,0.000187945,0.000187945,0.000187945
46,534.978,0.53281,0.35689,0.31536,0.87251,0.98706,0.77922,0.73296,0.82525,0.63318,0.77747,0.73073,0.75821,0.72646,0.91722,0.82789,0.09228,1.12416,1.35895,0.000184649,0.000184649,0.000184649
47,546.561,0.51104,0.35692,0.30628,0.84317,0.9702,0.74405,0.8834,0.91817,0.71964,0.73663,0.87597,0.9011,0.85586,0.86277,0.61442,0.09746,0.90685,1.31846,0.000181352,0.000181352,0.000181352
48,559.167,0.49745,0.37649,0.31033,0.85404,0.97088,0.84848,0.83189,0.9095,0.73623,0.84629,0.82879,0.89568,0.87565,0.77007,0.55906,0.08615,0.7827,1.21765,0.000178055,0.000178055,0.000178055
